ordinal,pts_ns
1,0
2,33333333
3,66666666
4,100000000
5,133333333
6,166666666
7,200000000
8,233333333
9,266666666
10,300000000
11,333333333
12,366666666
13,400000000
14,433333333
15,466666666
16,500000000
17,533333333
18,566666666
19,600000000
20,633333333
21,666666666
22,700000000
23,733333333
24,766666666
25,800000000
26,833333333
27,866666666
28,900000000
29,933333333
30,966666666
31,1000000000
32,1033333333
33,1066666666
34,1100000000
35,1133333333
36,1166666666
37,1200000000
38,1233333333
39,1266666666
40,1300000000
41,1333333333
42,1366666666
43,1400000000
44,1433333333
45,1466666666
46,1500000000
47,1533333333
48,1566666666
49,1600000000
50,1633333333
51,1666666666
52,1700000000
53,1733333333
54,1766666666
55,1800000000
56,1833333333
57,1866666666
58,1900000000
59,1933333333
60,1966666666
61,2000000000
62,2033333333
63,2066666666
64,2100000000
65,2133333333
66,2166666666
67,2200000000
68,2233333333
69,2266666666
70,2300000000
71,2333333333
72,2366666666
73,2400000000
74,2433333333
75,2466666666
76,2500000000
77,2533333333
78,2566666666
79,2600000000
80,2633333333
81,2666666666
82,2700000000
83,2733333333
84,2766666666
85,2800000000
86,2833333333
87,2866666666
88,2900000000
89,2933333333
90,2966666666
91,3000000000
92,3033333333
93,3066666666
94,3100000000
95,3133333333
96,3166666666
97,3200000000
98,3233333333
99,3266666666
100,3300000000
101,3333333333
102,3366666666
103,3400000000
104,3433333333
105,3466666666
106,3500000000
107,3533333333
108,3566666666
109,3600000000
110,3633333333
111,3666666666
112,3700000000
113,3733333333
114,3766666666
115,3800000000
116,3833333333
117,3866666666
118,3900000000
119,3933333333
120,3966666666
121,4000000000
122,4033333333
123,4066666666
124,4100000000
125,4133333333
126,4166666666
127,4200000000
128,4233333333
129,4266666666
130,4300000000
131,4333333333
132,4366666666
133,4400000000
134,4433333333
135,4466666666
136,4500000000
137,4533333333
138,4566666666
139,4600000000
140,4633333333
141,4666666666
142,4700000000
143,4733333333
144,4766666666
145,4800000000
146,4833333333
147,4866666666
148,4900000000
149,4933333333
150,4966666666
151,5000000000
152,5033333333
153,5066666666
154,5100000000
155,5133333333
156,5166666666
157,5200000000
158,5233333333
159,5266666666
160,5300000000
161,5333333333
162,5366666666
163,5400000000
164,5433333333
165,5466666666
166,5500000000
167,5533333333
168,5566666666
169,5600000000
170,5633333333
171,5666666666
172,5700000000
173,5733333333
174,5766666666
175,5800000000
176,5833333333
177,5866666666
178,5900000000
179,5933333333
180,5966666666
181,6000000000
182,6033333333
183,6066666666
184,6100000000
185,6133333333
186,6166666666
187,6200000000
188,6233333333
189,6266666666
190,6300000000
191,6333333333
192,6366666666
193,6400000000
194,6433333333
195,6466666666
196,6500000000
197,6533333333
198,6566666666
199,6600000000
200,6633333333
201,6666666666
202,6700000000
203,6733333333
204,6766666666
205,6800000000
206,6833333333
207,6866666666
208,6900000000
209,6933333333
210,6966666666
211,7000000000
212,7033333333
213,7066666666
214,7100000000
215,7133333333
216,7166666666
217,7200000000
218,7233333333
219,7266666666
220,7300000000
221,7333333333
222,7366666666
223,7400000000
224,7433333333
225,7466666666
226,7500000000
227,7533333333
228,7566666666
229,7600000000
230,7633333333
231,7666666666
232,7700000000
233,7733333333
234,7766666666
235,7800000000
236,7833333333
237,7866666666
238,7900000000
239,7933333333
240,7966666666
241,8000000000
242,8033333333
243,8066666666
244,8100000000
245,8133333333
246,8166666666
247,8200000000
248,8233333333
249,8266666666
250,8300000000
