ordinal,original_pts_ns,original_dts_ns,writer_origin_ns,appsrc_pts_ns,appsrc_dts_ns,appsrc_duration_ns,mux_pts_ns,mux_dts_ns,mux_duration_ns,vcl_sha256,mux_raw_sha256,file_sample_index,native_pts_tick,native_dts_tick,native_duration_tick,timescale,forward_pts_tick,forward_dts_tick,forward_duration_tick
1,66666666,0,0,66666666,0,33333333,66666666,0,33333333,2686bfa055cbe50f19d614ab7c927a3d3edf51653396a8cffdf2091ca6bc341c,2a6a69b4bc513113fcc46767c95a13efdb2e8f90853a7a7b796aec5899dcee01,0,200,0,100,3000,200,0,100
2,133333332,33333333,0,133333332,33333333,33333334,133333332,33333333,33333333,ce4342fad0cfe140343f904ca60e5373fc28e43f3901bf364790edccebaf0f6e,25f0df788425f967d3435284d97e8498b114466fb46472cee1d898e3350a2dc0,1,400,100,100,3000,400,100,100
3,99999999,66666666,0,99999999,66666666,33333333,99999999,66666666,33333333,bcda83dc3a4e341176b32733c3787edf65c85e101017f07018c300af59880ab0,0a0b9c79a794d9ba14c628bca55efbcd543fa19e2dbd947413f245f133e5e409,2,300,200,100,3000,300,200,100
4,233333332,99999999,0,233333332,99999999,33333334,233333332,99999999,33333333,ec1a84663a61ba021024adf2769975b9501184a90cdb37d5770ddd106d59355b,1f9575b2b2963334fe03579cdb1e15ce63c55f60d11a112f5853011019b1f471,3,700,300,100,3000,700,300,100
5,166666666,133333332,0,166666666,133333332,33333333,166666666,133333332,33333333,6857853917b586c145e5afdc71106a531f3426be5e90828fd02a9fa3e425405f,b96e0e8ed5fad023096ad27e6e21ca0f064837c0b41684d437a8e12e33fa832d,4,500,400,100,3000,500,400,100
6,199999999,166666666,0,199999999,166666666,33333333,199999999,166666666,33333333,c0ba42ffffd3e17e487eff4d643e4c30e314434d6bfe15649a0e42f6ac3b544d,78ee0feb546a62d2a6ca1c714b5391360b2d83e590f883618fd6b93b9ad0c186,5,600,500,100,3000,600,500,100
7,333333332,199999999,0,333333332,199999999,33333334,333333332,199999999,33333333,0c2ecb48c8d8cbfad1eeeb1be59240238c155921c4cb83917fcf257b479423de,7796860a4a1a80be7837b6265043cf68bb28e15dac734729ebfcb6cf16fe7df3,6,1000,600,100,3000,1000,600,100
8,266666666,233333332,0,266666666,233333332,33333333,266666666,233333332,33333333,3c9b9b54760ba1ed5db24b3dabab85cf4b46aafe77272811c1601d6223c26f37,16ae370c2d27d91c075c499919dc465e87fa0f7fb6b909f5360c114acad144b8,7,800,700,100,3000,800,700,100
9,299999999,266666666,0,299999999,266666666,33333333,299999999,266666666,33333333,fb3ea978edf7bf65f79c6862328529e2940631632ce4272a6ca709e3c6a5656f,d78f692e4c3a82eca3d095f51acfa8e77a6b86b91de5729b247049c56fbb66de,8,900,800,100,3000,900,800,100
10,433333332,299999999,0,433333332,299999999,33333334,433333332,299999999,33333333,7b3027098b83100c5cf439362a9a3576910c64846eca9f7207004252c12d3310,af7d6a321745621dffcbda0149f8b0b8969ce3deed987f0908f6ee0fe6ca1a15,9,1300,900,100,3000,1300,900,100
11,366666666,333333332,0,366666666,333333332,33333333,366666666,333333332,33333333,676bc40a63384ad3d23e24e8dffd7436b51410ad8aa355942de5bebe0d987e57,67c7ef428b4bf315aa548033f378725a2cb31206e859e6a543e7d5a10ef598e1,10,1100,1000,100,3000,1100,1000,100
12,399999999,366666666,0,399999999,366666666,33333333,399999999,366666666,33333333,860828521681e0820c65c68e6cadf54dab2b7bd6c901a50db6d677b889806a14,b9b046f77ce075025f316033d34d7c95ff03116e2135b9b22b323a2bbccb32eb,11,1200,1100,100,3000,1200,1100,100
13,499999999,399999999,0,499999999,399999999,33333333,499999999,399999999,33333333,267a301434a4983a3aa6a9400f7bbdd4df149e598ea6d995adacc1b984ce6e99,21c678b8a1ee5ecb66f9213dd933ac9d5ea6447734467a2e449cb3bc2a86f902,12,1500,1200,100,3000,1500,1200,100
14,466666666,433333332,0,466666666,433333332,33333333,466666666,433333332,33333333,7c07a640aff5b211bb23180c725a68e3d55a7f92503efb20fdb0b37c827eb2cf,8af517c110e4399c05b75b08f5a13c2842f7462d2752827d4309020f53364e86,13,1400,1300,100,3000,1400,1300,100
15,566666666,466666666,0,566666666,466666666,33333333,566666666,466666666,33333333,465c8e592fc49eb731a9d58d6652a9fccecfd8a56567248ea9cce5cbb0547a72,ece2ce1bb81503a0a681d5a032eefc0291978744fb0eb0ea0ac0f20fafdd7af8,14,1700,1400,100,3000,1700,1400,100
