index,pts,dts,duration,bytes,sha256
0,66666666,0,33333333,1701,24881e39325c0f7bc9a8684fbaf368c86e0128fe8dfd74cadb1ef09a97e323d5
1,133333332,33333333,33333334,592,55d41316d0015a2898eb02112b14dd52ce66f32aab53b956b8a129c4900b6832
2,99999999,66666666,33333333,315,d798c8f62e3217bb77177140f9986298947ac6c209596b57dfe7e1e45ea564b4
3,233333332,99999999,33333334,704,8147fbf442ed5716c7c8c2fd013b3ec0543a9861513f72a60513d557918dba0d
4,166666666,133333332,33333333,405,10c19f77a213311650a3934fca2cd49882ffe9c34507e71ca1b4ad08344e2145
5,199999999,166666666,33333333,240,45057dbb762b1d34c869c7049edb5bab00a892a1a886bffd0e2d8de5f646aaea
6,333333332,199999999,33333334,686,58fed113428c5337ddec8a1a1d3f6560caef7722492fc0682eb64d437431c661
7,266666666,233333332,33333333,394,3fa676d9156b2128d78e8080c10d43ee4db783fdaa8fe86721d7a0d9e0ee18d5
8,299999999,266666666,33333333,395,a3da08de7d4d12d17829999309dbc0a52a198ea53b600dac4ecb1871054a7807
9,433333332,299999999,33333334,657,1ff5c01c4a40feab0c241db955901aafd4772f46180a8fa639303fe03a3bbdc2
10,366666666,333333332,33333333,545,7668683676de78a740eaec64067d8cb61f3a23c59a6b65232c8c958179a3fd0e
11,399999999,366666666,33333333,371,9490eb0acfd94528f2555a05c7065a904a65219d462d15c0784b67852133fd46
12,499999999,399999999,33333333,577,dbaa2fb4c69b0b58c3ce3d3357be5f0f449f2b4cc12d61f205a4d4807d51e946
13,466666666,433333332,33333333,564,03af960243c4aab3250def3dd1dfa2f7649f26d66817e5f4b17ccaf2b900c34e
14,566666666,466666666,33333333,710,2c902c1ca5aaa8459ee4fb6359074c0c6fdc2f61b329395217bfef4f8f9e5a9a
15,533333332,499999999,33333334,525,5705e75dd7c4bb4dad900b0ef217d8d8662b1103258f7fa37108e668e4095846
16,666666666,533333332,33333333,758,ab6b9a759f0c76b29f1241fbb3b77b3b426b4c066a4f595d092fbc8633cbf38b
17,599999999,566666666,33333333,688,60baa2834e292d1ede92a2e8fbf12c56841974ada95dfdff2de81a76e891ef4c
18,633333332,599999999,33333334,513,1b063adc160aae4986540c43a0c3fc79eafb75662add463ca1d696e78a755451
19,766666666,633333332,33333333,752,f5b7ae488e98bea205bb5705a9cda83b6b2ff272e9252453832e9317e0a072ab
20,699999999,666666666,33333333,725,281192f0f2e9332fdfd330f3b92b31e6b805f13447658149caa1e4ec3981b211
21,733333332,699999999,33333334,613,90219deb430d97152d7f79649ad0f9f2f3469a316778b6164ad2458c720c0222
22,866666666,733333332,33333333,585,940b27d92c2a1a2af50ecdd04acd9e90f3bd1d6053e1d421853463002f7e1f7e
23,799999999,766666666,33333333,611,0f57c77786dd14b3ac52ae744d68d2fff2e4a65607525c59471a4764ed22a15f
24,833333332,799999999,33333334,631,17a6da4b0673f231010d31ea498bbe8e23cb2dadac1e2022de564c17883120ba
25,966666666,833333332,33333333,705,00b76e824ad43e159861ccaf0ccd40413e91abf1aab05ad3e62a99bfb185dc20
26,899999999,866666666,33333333,726,b28d9511c3002f0bfb36562fdeaf112f809b6f24c5e8ae324fd78a398daba599
27,933333332,899999999,33333334,496,785c818e96b33db333a43f6b52b12c725d9f2b12e8217712c46471a2bb36eab4
28,1033333332,933333332,33333334,640,4ce84649429194bd03385487c76f1c338927c0740781d5b730c988afca976638
29,999999999,966666666,33333333,605,aabdb7a1965c4da1008fff8a42730ac781e3aaffa56503e3794a0021666651e7
