LP13-A01 실제 진단 1회. exit1,36840ms. HTTP4003ms timeout. 정상 종료 확인 실패·root 보존, generic 사후진단 미실행.

개별 HTTP 실행 결과(전체 앱 PASS와 별개)
제목 | 수행내용 | 결과(pass/fail)
--- | --- | ---
HTTP-1 | GET health, timeline=해당없음, status=없음, 3ms, error | fail
HTTP-2 | GET health, timeline=해당없음, status=없음, 1ms, error | fail
HTTP-3 | GET health, timeline=해당없음, status=없음, 1ms, error | fail
HTTP-4 | GET health, timeline=해당없음, status=없음, 1ms, error | fail
HTTP-5 | GET health, timeline=해당없음, status=없음, 1ms, error | fail
HTTP-6 | GET health, timeline=해당없음, status=없음, 1ms, error | fail
HTTP-7 | GET health, timeline=해당없음, status=없음, 1ms, error | fail
HTTP-8 | GET health, timeline=해당없음, status=없음, 1ms, error | fail
HTTP-9 | GET health, timeline=해당없음, status=없음, 0ms, error | fail
HTTP-10 | GET health, timeline=해당없음, status=없음, 1ms, error | fail
HTTP-11 | GET health, timeline=해당없음, status=없음, 0ms, error | fail
HTTP-12 | GET health, timeline=해당없음, status=없음, 0ms, error | fail
HTTP-13 | GET health, timeline=해당없음, status=없음, 0ms, error | fail
HTTP-14 | GET health, timeline=해당없음, status=없음, 0ms, error | fail
HTTP-15 | GET health, timeline=해당없음, status=없음, 0ms, error | fail
HTTP-16 | GET health, timeline=해당없음, status=없음, 0ms, error | fail
HTTP-17 | GET health, timeline=해당없음, status=200, 6ms, ok | pass
HTTP-18 | GET ice, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-19 | POST source, timeline=해당없음, status=201, 76ms, ok | pass
HTTP-20 | POST tap-create, timeline=해당없음, status=200, 41ms, ok | pass
HTTP-21 | GET tap, timeline=해당없음, status=200, 22ms, ok | pass
HTTP-22 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-23 | GET timeline, timeline=1, status=200, 1ms, ok | pass
HTTP-24 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-25 | GET timeline, timeline=2, status=200, 1ms, ok | pass
HTTP-26 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-27 | GET timeline, timeline=3, status=200, 0ms, ok | pass
HTTP-28 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-29 | GET timeline, timeline=4, status=200, 0ms, ok | pass
HTTP-30 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-31 | GET timeline, timeline=5, status=200, 0ms, ok | pass
HTTP-32 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-33 | GET timeline, timeline=6, status=200, 0ms, ok | pass
HTTP-34 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-35 | GET timeline, timeline=7, status=200, 1ms, ok | pass
HTTP-36 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-37 | GET timeline, timeline=8, status=200, 1ms, ok | pass
HTTP-38 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-39 | GET timeline, timeline=9, status=200, 0ms, ok | pass
HTTP-40 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-41 | GET timeline, timeline=10, status=200, 0ms, ok | pass
HTTP-42 | GET tap, timeline=해당없음, status=200, 2ms, ok | pass
HTTP-43 | GET timeline, timeline=11, status=200, 0ms, ok | pass
HTTP-44 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-45 | GET timeline, timeline=12, status=200, 0ms, ok | pass
HTTP-46 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-47 | GET timeline, timeline=13, status=200, 0ms, ok | pass
HTTP-48 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-49 | GET timeline, timeline=14, status=200, 1ms, ok | pass
HTTP-50 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-51 | GET timeline, timeline=15, status=200, 0ms, ok | pass
HTTP-52 | GET tap, timeline=해당없음, status=200, 6ms, ok | pass
HTTP-53 | GET timeline, timeline=16, status=200, 0ms, ok | pass
HTTP-54 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-55 | GET timeline, timeline=17, status=200, 1ms, ok | pass
HTTP-56 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-57 | GET timeline, timeline=18, status=200, 0ms, ok | pass
HTTP-58 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-59 | GET timeline, timeline=19, status=200, 0ms, ok | pass
HTTP-60 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-61 | GET timeline, timeline=20, status=200, 0ms, ok | pass
HTTP-62 | GET tap, timeline=해당없음, status=200, 4ms, ok | pass
HTTP-63 | GET timeline, timeline=21, status=200, 0ms, ok | pass
HTTP-64 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-65 | GET timeline, timeline=22, status=200, 1ms, ok | pass
HTTP-66 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-67 | GET timeline, timeline=23, status=200, 0ms, ok | pass
HTTP-68 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-69 | GET timeline, timeline=24, status=200, 0ms, ok | pass
HTTP-70 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-71 | GET timeline, timeline=25, status=200, 1ms, ok | pass
HTTP-72 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-73 | GET timeline, timeline=26, status=200, 0ms, ok | pass
HTTP-74 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-75 | GET timeline, timeline=27, status=200, 1ms, ok | pass
HTTP-76 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-77 | GET timeline, timeline=28, status=200, 0ms, ok | pass
HTTP-78 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-79 | GET timeline, timeline=29, status=200, 0ms, ok | pass
HTTP-80 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-81 | GET timeline, timeline=30, status=200, 1ms, ok | pass
HTTP-82 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-83 | GET timeline, timeline=31, status=200, 0ms, ok | pass
HTTP-84 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-85 | GET timeline, timeline=32, status=200, 0ms, ok | pass
HTTP-86 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-87 | GET timeline, timeline=33, status=200, 1ms, ok | pass
HTTP-88 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-89 | GET timeline, timeline=34, status=200, 0ms, ok | pass
HTTP-90 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-91 | GET timeline, timeline=35, status=200, 0ms, ok | pass
HTTP-92 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-93 | GET timeline, timeline=36, status=200, 1ms, ok | pass
HTTP-94 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-95 | GET timeline, timeline=37, status=200, 0ms, ok | pass
HTTP-96 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-97 | GET timeline, timeline=38, status=200, 0ms, ok | pass
HTTP-98 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-99 | GET timeline, timeline=39, status=200, 1ms, ok | pass
HTTP-100 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-101 | GET timeline, timeline=40, status=200, 0ms, ok | pass
HTTP-102 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-103 | GET timeline, timeline=41, status=200, 0ms, ok | pass
HTTP-104 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-105 | GET timeline, timeline=42, status=200, 1ms, ok | pass
HTTP-106 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-107 | GET timeline, timeline=43, status=200, 0ms, ok | pass
HTTP-108 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-109 | GET timeline, timeline=44, status=200, 0ms, ok | pass
HTTP-110 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-111 | GET timeline, timeline=45, status=200, 1ms, ok | pass
HTTP-112 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-113 | GET timeline, timeline=46, status=200, 0ms, ok | pass
HTTP-114 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-115 | GET timeline, timeline=47, status=200, 0ms, ok | pass
HTTP-116 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-117 | GET timeline, timeline=48, status=200, 1ms, ok | pass
HTTP-118 | GET tap, timeline=해당없음, status=200, 3ms, ok | pass
HTTP-119 | GET timeline, timeline=49, status=200, 0ms, ok | pass
HTTP-120 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-121 | GET timeline, timeline=50, status=200, 0ms, ok | pass
HTTP-122 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-123 | GET timeline, timeline=51, status=200, 1ms, ok | pass
HTTP-124 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-125 | GET timeline, timeline=52, status=200, 1ms, ok | pass
HTTP-126 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-127 | GET timeline, timeline=53, status=200, 0ms, ok | pass
HTTP-128 | GET tap, timeline=해당없음, status=200, 4ms, ok | pass
HTTP-129 | GET timeline, timeline=54, status=200, 1ms, ok | pass
HTTP-130 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-131 | GET timeline, timeline=55, status=200, 0ms, ok | pass
HTTP-132 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-133 | GET timeline, timeline=56, status=200, 0ms, ok | pass
HTTP-134 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-135 | GET timeline, timeline=57, status=200, 0ms, ok | pass
HTTP-136 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-137 | GET timeline, timeline=58, status=200, 0ms, ok | pass
HTTP-138 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-139 | GET timeline, timeline=59, status=200, 0ms, ok | pass
HTTP-140 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-141 | GET timeline, timeline=60, status=200, 1ms, ok | pass
HTTP-142 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-143 | GET timeline, timeline=61, status=200, 0ms, ok | pass
HTTP-144 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-145 | GET timeline, timeline=62, status=200, 0ms, ok | pass
HTTP-146 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-147 | GET timeline, timeline=63, status=200, 1ms, ok | pass
HTTP-148 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-149 | GET timeline, timeline=64, status=200, 0ms, ok | pass
HTTP-150 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-151 | GET timeline, timeline=65, status=200, 0ms, ok | pass
HTTP-152 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-153 | GET timeline, timeline=66, status=200, 1ms, ok | pass
HTTP-154 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-155 | GET timeline, timeline=67, status=200, 0ms, ok | pass
HTTP-156 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-157 | GET timeline, timeline=68, status=200, 0ms, ok | pass
HTTP-158 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-159 | GET timeline, timeline=69, status=200, 1ms, ok | pass
HTTP-160 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-161 | GET timeline, timeline=70, status=200, 0ms, ok | pass
HTTP-162 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-163 | GET timeline, timeline=71, status=200, 0ms, ok | pass
HTTP-164 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-165 | GET timeline, timeline=72, status=200, 1ms, ok | pass
HTTP-166 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-167 | GET timeline, timeline=73, status=200, 0ms, ok | pass
HTTP-168 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-169 | GET timeline, timeline=74, status=200, 0ms, ok | pass
HTTP-170 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-171 | GET timeline, timeline=75, status=200, 1ms, ok | pass
HTTP-172 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-173 | GET timeline, timeline=76, status=200, 0ms, ok | pass
HTTP-174 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-175 | GET timeline, timeline=77, status=200, 0ms, ok | pass
HTTP-176 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-177 | GET timeline, timeline=78, status=200, 1ms, ok | pass
HTTP-178 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
