index,original_pts,original_dts,original_duration,native_pts_tick,native_dts_tick,native_duration_tick,timescale,native_end_floor_ns,demux_pts,demux_dts,demux_duration,parse_pts,parse_dts,parse_duration,parse_end_ns,next_parse_pts,gap_ns
0,0,0,33366666,0,0,1001,30000,33366666,0,0,33366666,0,0,33366666,33366666,33366666,0
1,33366666,33366666,33366667,1001,1001,1001,30000,66733333,33366666,33366666,33366667,33366666,33366666,33366666,66733332,66733333,1
2,66733333,66733333,33366667,2002,2002,1001,30000,100100000,66733333,66733333,33366667,66733333,66733333,33366666,100099999,100100000,1
3,100100000,100100000,33366666,3003,3003,1001,30000,133466666,100100000,100100000,33366666,100100000,100100000,33366666,133466666,133466666,0
4,133466666,133466666,33366667,4004,4004,1001,30000,166833333,133466666,133466666,33366667,133466666,133466666,33366666,166833332,166833333,1
5,166833333,166833333,33366667,5005,5005,1001,30000,200200000,166833333,166833333,33366667,166833333,166833333,33366666,200199999,200200000,1
6,200200000,200200000,33366666,6006,6006,1001,30000,233566666,200200000,200200000,33366666,200200000,200200000,33366666,233566666,233566666,0
7,233566666,233566666,33366667,7007,7007,1001,30000,266933333,233566666,233566666,33366667,233566666,233566666,33366666,266933332,266933333,1
8,266933333,266933333,33366667,8008,8008,1001,30000,300300000,266933333,266933333,33366667,266933333,266933333,33366666,300299999,300300000,1
9,300300000,300300000,33366666,9009,9009,1001,30000,333666666,300300000,300300000,33366666,300300000,300300000,33366666,333666666,333666666,0
10,333666666,333666666,33366667,10010,10010,1001,30000,367033333,333666666,333666666,33366667,333666666,333666666,33366666,367033332,367033333,1
11,367033333,367033333,33366667,11011,11011,1001,30000,400400000,367033333,367033333,33366667,367033333,367033333,33366666,400399999,400400000,1
12,400400000,400400000,33366666,12012,12012,1001,30000,433766666,400400000,400400000,33366666,400400000,400400000,33366666,433766666,433766666,0
13,433766666,433766666,33366667,13013,13013,1001,30000,467133333,433766666,433766666,33366667,433766666,433766666,33366666,467133332,467133333,1
14,467133333,467133333,33366667,14014,14014,1001,30000,500500000,467133333,467133333,33366667,467133333,467133333,33366666,500499999,500500000,1
15,500500000,500500000,33366666,15015,15015,1001,30000,533866666,500500000,500500000,33366666,500500000,500500000,33366666,533866666,533866666,0
16,533866666,533866666,33366667,16016,16016,1001,30000,567233333,533866666,533866666,33366667,533866666,533866666,33366666,567233332,567233333,1
17,567233333,567233333,33366667,17017,17017,1001,30000,600600000,567233333,567233333,33366667,567233333,567233333,33366666,600599999,600600000,1
18,600600000,600600000,33366666,18018,18018,1001,30000,633966666,600600000,600600000,33366666,600600000,600600000,33366666,633966666,633966666,0
19,633966666,633966666,33366667,19019,19019,1001,30000,667333333,633966666,633966666,33366667,633966666,633966666,33366666,667333332,667333333,1
20,667333333,667333333,33366667,20020,20020,1001,30000,700700000,667333333,667333333,33366667,667333333,667333333,33366666,700699999,700700000,1
21,700700000,700700000,33366666,21021,21021,1001,30000,734066666,700700000,700700000,33366666,700700000,700700000,33366666,734066666,734066666,0
22,734066666,734066666,33366667,22022,22022,1001,30000,767433333,734066666,734066666,33366667,734066666,734066666,33366666,767433332,767433333,1
23,767433333,767433333,33366667,23023,23023,1001,30000,800800000,767433333,767433333,33366667,767433333,767433333,33366666,800799999,800800000,1
24,800800000,800800000,33366666,24024,24024,1001,30000,834166666,800800000,800800000,33366666,800800000,800800000,33366666,834166666,834166666,0
25,834166666,834166666,33366667,25025,25025,1001,30000,867533333,834166666,834166666,33366667,834166666,834166666,33366666,867533332,867533333,1
26,867533333,867533333,33366667,26026,26026,1001,30000,900900000,867533333,867533333,33366667,867533333,867533333,33366666,900899999,900900000,1
27,900900000,900900000,33366666,27027,27027,1001,30000,934266666,900900000,900900000,33366666,900900000,900900000,33366666,934266666,934266666,0
28,934266666,934266666,33366667,28028,28028,1001,30000,967633333,934266666,934266666,33366667,934266666,934266666,33366666,967633332,967633333,1
29,967633333,967633333,33366667,29029,29029,1001,30000,1001000000,967633333,967633333,33366667,967633333,967633333,33366666,1000999999,null,null
