index,pts,dts,duration,bytes,sha256
0,0,0,33333333,2222,e24916557285c63dc6ab45fe406b7e5867892bc3c6d1b4bc01550debf1575291
1,33333333,33333333,33333333,629,c806dc7b95c856fcf5f93713a64b97597a6caadcace278d3df4af9b95107ffae
2,66666666,66666666,33333334,775,6fe7efdc5a8243e668c0ed6805ffbfecb690c568e32a717fe5b2b83a2087877e
3,100000000,100000000,33333333,832,7f46b631f64275146d819b06794e9faf4d1d46d5ef2f47041c569285181d1deb
4,133333333,133333333,33333333,787,a4bf6dadefe40b6db173b42dc5ac1dd7d7cb444ee024fef0cc24e1af7f3731aa
5,166666666,166666666,33333334,834,2d28e66c221afd72b472e2511b0d16effd83179cec9edee04ea2198be9d132b9
6,200000000,200000000,33333333,679,5288b24b57d880a1e6afeeedbdc59b542e6aba725d698fc53f97f10b6e0c49f3
7,233333333,233333333,33333333,837,a8d7f5e6f1d82fd80f3f2c2cf1395dd0f0925ae1eb4f11a9d6de2e99cce61815
8,266666666,266666666,33333334,801,4954341393fefe24bdf7dbd6a0fcb359a467e5465a41b29c0ad624a4a8ea1399
9,300000000,300000000,33333333,823,10e50b4558387611bbdc98f0a907af47c1fb095be112aa59302445c9c651ac05
10,333333333,333333333,33333333,806,d43a94b9371f1f4a2a71cd1db4fc1b86acaee48881e2159fd2ab7a7d7eb836c4
11,366666666,366666666,33333334,836,121f3697dfc179b4567b1c6a7ac6c03ce4a3307f906aab02fac22c378edfbeb9
12,400000000,400000000,33333333,865,19f117f69761fb3866b8d874547f8472dcbc39fa0bb05306df5ff08e1cc1b75c
13,433333333,433333333,33333333,908,353fcea47d1e2aa99984f17cb14b8f25e12f64e60ac0ad0b376ab6807e6d2af9
14,466666666,466666666,33333334,891,41ffa73436f2bde34260fc2c0a2247094700d04d41c0877ea6ada24bbe31b4c6
15,500000000,500000000,33333333,881,d61e65d29b9a3f5ab2b07e43a71932a4e7b8cf37649cb6027592a38234af4682
16,533333333,533333333,33333333,941,acf775927698a8bf69c83e8166b800358e1e69a5cbdaf0a0406de15a71c5638e
17,566666666,566666666,33333334,928,88d67a0d3d22cb86207cc0ce494222934250b4e94ef8490f7c4d8247e2177e86
18,600000000,600000000,33333333,862,3de413711e4cbd7b8f6bc825cc490b4739be1374cf42605c7d438938437bc1cf
19,633333333,633333333,33333333,875,05a68c7bce1dc9c3108c5d9cc69c63135b0be796cb19cf5ffdd16fd3f6604481
20,666666666,666666666,33333334,841,f3715bc69f60cc00358e6cd08895c62d473ea969a9e9eab6ee23f45cd0a29607
21,700000000,700000000,33333333,983,8708634198b6124cc40c882ed5fcbe26067ce1048416da281c56b67878fde9df
22,733333333,733333333,33333333,959,0180b2c35b22e23cf6be2264fd9c67f50fb271bd729286199d20097d8278a732
23,766666666,766666666,33333334,945,fb75ca43b0383ee8627f246b7fe834e90266951b12421fe4b4954690878485ab
24,800000000,800000000,33333333,942,50e798c6a1c5ef1f6d82fce7f3427749faaf75348c39fb9fccca99d382689bc2
25,833333333,833333333,33333333,900,edca12f42115ccb29685ed40caf6afd7ee7d581a1d7592302cc2b89e8d4a723c
26,866666666,866666666,33333334,791,2163585dcc725799f51bc138a0c7853ddf8f54b2c5a575aa31ae3c811a41390d
27,900000000,900000000,33333333,937,3671eaf904e4bf1dcceb26749bb410bb6a52ead08af509d96f40b6977c26b5ac
28,933333333,933333333,33333333,895,ef8a0ac03a32913b2564b742aced80df3456c46c3ba2e5af9352abda652bda49
29,966666666,966666666,33333334,935,f3e43a6ca72e99ce1a3d5c784f449723d2d2689568facd002059dd92908265c9
30,1000000000,1000000000,33333333,952,c3db833898f481feb8815bc7f02f1f67dc5c9bd4e239b68cbf71f1e84df06f5e
31,1033333333,1033333333,33333333,970,f258e52501be6e7384f53b8f191402feb5769be2e080670ae6a9539ea962f793
32,1066666666,1066666666,33333334,877,e7f9620e7b901ab0f0dfcc0937432963cd52ac9622abd141003c7734ac4b24f2
33,1100000000,1100000000,33333333,791,8303d67dfd0bbc75dd591ff6eb6b3836fe212b039bb04c08e4df0e834d91153a
34,1133333333,1133333333,33333333,763,fcdbc918f7da2cf5bd2256e91550b1a2f4abc4dd84fde3edb00a75f8980d0b81
35,1166666666,1166666666,33333334,767,1aecf5affb450e570e1ca02b729d85745a8ed38f634f55c4685ae6ce8e6b658b
36,1200000000,1200000000,33333333,858,78ea7e6ef5fed8523fecb6ffbfb40644f38970c50456c7e88f899908f5e36a6e
37,1233333333,1233333333,33333333,844,3d38a30ae5b71e36c57103bd82195776813b339873c60805c0310a0a4ec16712
38,1266666666,1266666666,33333334,960,7d2b7d8e255bcbf085266387524acc91869e1609e824d697b5cc6e3933a289ca
39,1300000000,1300000000,33333333,1010,be5e27e7b601fadbf1a996152aab2bde7b596ffb65b1be3cb6887d501b3dbc34
40,1333333333,1333333333,33333333,1008,39f245f23abba6a13f2af012416fe44e8050c5616eb3a905a998e036afc49d68
41,1366666666,1366666666,33333334,1041,11b2c312328d902f83cef792b4f154031675069a57db0e15006f7dfc0a62d832
42,1400000000,1400000000,33333333,984,5876a66f6d1d3c57dd9d62f0a3c2fe975b99096802a95b603af3f2e0756bb77e
43,1433333333,1433333333,33333333,950,fd856c1945a8939c476f677a79945ffc59af14f4440d64c6772698a3e284144e
44,1466666666,1466666666,33333334,933,fc2786eab69c66a50014a4fef47eb0683bc98939d0e103d9ed7294ed0d2d9ced
45,1500000000,1500000000,33333333,869,b37e7b5c16425a46953c426c37691fddb66fd1ae21f11e66a3683fe881970ba0
46,1533333333,1533333333,33333333,770,2b016e5c8aa1a90aeade78de55a5339daeb11280153f044cb1aab98ac843c241
47,1566666666,1566666666,33333334,869,466641e0217a0d72b18a44e7355acf5b02bece14267de67866b27914ab73cdf3
